Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
"Grover Washington, Jr.",Just the Two of Us,0.743,0.43,10,-14.575,0,0.0906,0.445,0.363,0.0455,0.593,95.406,443773,spotify:track:5fdNHVZHbWB1AaXk4RBGVD,yes,1981
Soft Cell,Tainted Love,0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,153800,spotify:track:0cGG2EouYCEEC3xfa0tDFV,yes,1981
Rick James,Super Freak,0.838,0.794,9,-8.245,0,0.0531,0.22,0,0.0575,0.962,132.446,205467,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,yes,1981
Rainbow,I Surrender,0.49,0.86,7,-5.284,0,0.0573,0.132,0,0.215,0.795,132.673,241893,spotify:track:2dHjSNCw10clC9oOld8tPn,yes,1981
Loverboy,Working for the Weekend,0.515,0.766,7,-12.768,1,0.0343,0.0249,0.00103,0.455,0.774,146.911,221000,spotify:track:35k31HZI4z9PbBOioaI4dZ,yes,1981
Rod Stewart,Young Turks - 2008 Remaster,0.641,0.821,5,-8.783,0,0.0325,0.274,0.487,0.138,0.705,161.143,302413,spotify:track:28OaEH5Baa8RRloKvFGBWu,yes,1981
The Teardrop Explodes,Reward,0.389,0.746,0,-4.353,1,0.0321,0.000637,0.000322,0.31,0.899,159.876,162267,spotify:track:2vULfNEAOjjRyjj6hs0kBm,yes,1981
Foreigner,Urgent,0.855,0.803,4,-5.849,0,0.0316,0.342,0.00732,0.0841,0.962,114.867,271200,spotify:track:08onVqQ8YicJ98Ycm1qoLf,yes,1981
Billy Squier,Lonely Is The Night - Remastered,0.347,0.803,9,-4.923,1,0.0416,0.209,4.36e-06,0.116,0.672,85.362,281453,spotify:track:28eg5bkYvIHT7HPmzZFwLN,yes,1981
The Greg Kihn Band,The Breakup Song,0.703,0.895,9,-4.002,0,0.029,0.0367,6.61e-05,0.307,0.965,141.558,169693,spotify:track:3gHyNUxOEZq4VltRl2xUW4,yes,1981
Men At Work,Who Can It Be Now?,0.805,0.479,4,-14.734,1,0.0436,0.0627,0.000143,0.104,0.962,128.411,201293,spotify:track:5rfJ2Bq2PEL8yBjZLzouEu,yes,1981
Juice Newton,The Sweetest Thing (I've Ever Known),0.253,0.323,7,-10.124,1,0.0268,0.55,1.22e-06,0.253,0.216,152.949,247227,spotify:track:4bRQodyVPba7f8mo3zyemR,yes,1981
Adam & The Ants,Prince Charming,0.544,0.667,9,-9.526,1,0.0398,0.179,3.94e-06,0.142,0.665,149.944,198187,spotify:track:3JuwVgIYYl7tHeEGrEQqbg,yes,1981
Pat Benatar,Treat Me Right,0.583,0.641,2,-9.39,0,0.0334,0.107,1.31e-06,0.0606,0.436,135.013,205600,spotify:track:1s0OQOEwJiCybX4adE63Tf,yes,1981
Imagination,Body Talk,0.7,0.629,7,-10.163,1,0.0634,0.00713,0.00142,0.0626,0.74,81.6,286227,spotify:track:2BSnFEQR2mcvoPdcw2yoTG,yes,1981
Styx,Too Much Time On My Hands,0.799,0.404,11,-13.597,0,0.0461,0.11,0,0.387,0.893,131.012,271267,spotify:track:4hWUOIDHda9XOb1zDchftP,yes,1981
Stevie Nicks,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,0.631,0.597,4,-7.382,0,0.026,0.379,0.00273,0.146,0.665,107.26,244440,spotify:track:66LhCsc06aTa2Ig7iYPDSP,yes,1981
Michael Jackson,One Day In Your Life,0.308,0.564,4,-7.959,1,0.0315,0.635,0.0657,0.177,0.211,81.356,253307,spotify:track:0PAsTgSf6qOgZAvmQ1nhNh,yes,1981
UB40,One In Ten,0.852,0.541,2,-13.814,0,0.0465,0.0195,2.26e-05,0.0771,0.918,126.561,272907,spotify:track:42DXaUFEwTy1XGZBKuLAIE,yes,1981
The Alan Parsons Project,Games People Play,0.721,0.69,11,-10.533,0,0.0339,0.189,4.14e-06,0.138,0.684,132.019,263107,spotify:track:2gQsUHVFY4tpXc3AFU2mcS,yes,1981
Journey,Who's Crying Now,0.57,0.554,9,-9.732,0,0.0288,0.0548,0,0.139,0.372,122.135,300147,spotify:track:5IK2FtuC0qmHHam9sWFxUI,yes,1981
The Human League,Love Action (I Believe In Love),0.702,0.588,0,-9.739,1,0.0321,0.0805,0.0193,0.184,0.728,121.738,301827,spotify:track:5RBPXlIiZVrr8hab7LpRJB,yes,1981
Blondie,Rapture,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,299373,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,yes,1981
The Oak Ridge Boys,Elvira,0.825,0.285,8,-17.491,1,0.0326,0.188,0.00131,0.0539,0.86,126.946,225627,spotify:track:0mG66FLhO0iZ6XCAGdjpax,yes,1981
Commodores,Oh No,0.584,0.186,8,-17.158,1,0.0258,0.772,6.21e-06,0.273,0.336,85.731,184307,spotify:track:4t374JpKYq4OGTUoJ4PVwm,yes,1981
Ultravox,Vienna,0.583,0.614,5,-10.312,1,0.0643,0.16,0.234,0.109,0.456,80.747,278227,spotify:track:3cbLm923IeoVDOMEPOfosc,yes,1981
Tom Tom Club,Genius Of Love,0.928,0.594,2,-10.839,1,0.0913,0.127,0.000413,0.0391,0.747,102.878,339053,spotify:track:6UGlSlhwl2MNhsrg5Wepq3,yes,1981
Marty Balin,Hearts,0.719,0.551,0,-9.124,1,0.0324,0.529,9.05e-06,0.139,0.829,123.444,258773,spotify:track:150LOyOS0ISsZ9IcwPf6iT,yes,1981
Altered Images,Happy Birthday,0.573,0.77,9,-10.399,1,0.0757,0.57,3.15e-05,0.0919,0.782,155.86,179427,spotify:track:7G2oCOFBXTaaMa12WuDOni,yes,1981
Juice Newton,Angel Of The Morning,0.452,0.313,8,-9.309,1,0.026,0.433,2.6e-05,0.0772,0.344,75.806,250440,spotify:track:11y8GSP2ASv8S9n0FiiDva,yes,1981
Orchestral Manoeuvres In The Dark,Joan Of Arc,0.586,0.674,4,-9.842,1,0.0412,0.164,0.0033,0.059,0.206,114.78,227640,spotify:track:7Dpk8EBgeORLxhEcdbeDTD,yes,1981
Air Supply,The One That You Love,0.396,0.479,5,-8.072,1,0.0268,0.728,9.51e-06,0.102,0.184,109.973,259000,spotify:track:3FDAd5vW4P7xe1GBNOLyfD,yes,1981
Barbra Streisand,What Kind of Fool,0.51,0.183,2,-18.678,1,0.0348,0.651,1.12e-06,0.481,0.151,79.581,244000,spotify:track:0G53BGGaQuFBxRjhRhB2KR,yes,1981
John Lennon,Watching The Wheels - Remastered 2010,0.607,0.612,0,-8.666,1,0.0523,0.408,5.2e-06,0.32,0.272,82.933,239933,spotify:track:26Kw6zBo3Uy98q5LTlFfVJ,yes,1981
Ottawan,Hands Up,0.886,0.849,8,-5.933,1,0.0359,0.43,0,0.0669,0.98,123.2,192227,spotify:track:58rplquuzBc59PsN9MEHpU,yes,1981
Goombay Dance Band,Seven Tears,0.491,0.595,6,-10.288,1,0.0291,0.676,0,0.475,0.752,89.391,238250,spotify:track:3IKjeWlg10MpnnzIlyaWEp,yes,1981
The Human League,Open Your Heart - 2002 Mix,0.548,0.586,0,-6.143,1,0.0357,0.0653,0,0.424,0.563,133.306,236320,spotify:track:1htzoEsjQrEDMVxLaox5Dp,yes,1981
Sheena Easton,For Your Eyes Only,0.244,0.44,7,-7.777,1,0.0475,0.871,8.65e-05,0.372,0.113,82.02,184480,spotify:track:4jRJWlkCn3pAwezfqFODU3,yes,1981
Stanley Clarke,Sweet Baby,0.622,0.368,4,-14.22,1,0.0594,0.338,0,0.23,0.266,72.764,227200,spotify:track:38705PDjZZVeWxfTRsTlJr,yes,1981
Foreigner,Waiting for a Girl like You,0.33,0.469,10,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067,spotify:track:2OgVsp77En2nju8pnCieVU,yes,1981
Champaign,How 'Bout Us,0.53,0.519,1,-11.626,1,0.0469,0.514,2.2e-05,0.0751,0.5,73.286,273227,spotify:track:1jc24HfkDT31GLKlxesuZl,yes,1981
Smokey Robinson,Being With You,0.649,0.434,0,-9.529,0,0.0267,0.764,2.44e-06,0.0822,0.572,108.754,246960,spotify:track:5khAYmr8HHFwI3sp0Lw9wp,yes,1981
